Greedo 2,3.5 4,7 1,4.0 5,2 2,3.5

Brian 5,7.5 2,8 3,1 5,10 6,15 7.5,3.5 4,6 5,7.5

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4

Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
Set 9,5 12,10 3,13 20,7 2,17 14,6 1,11 8,4
